unique_key,address,census_tract,clearance_date,clearance_status,council_district_code,description,district,latitude,longitude,location,location_description,primary_type,timestamp,x_coordinate,y_coordinate,year,zipcode
2015821204,"1713 MULLEN DR Austin, TX",,2015-03-25 12:00:00.000000 UTC,Not cleared,,THEFT                         ,UK,,,,1713 MULLEN DR,Theft,2015-03-23 12:00:00.000000 UTC,,,2015,
2015150483,"Austin, TX",,2015-01-27 12:00:00.000000 UTC,Not cleared,,RAPE                          ,B,,,,nan,Rape,2015-01-15 12:00:00.000000 UTC,,,2015,
2015331540,"5510 S IH 35 SVRD Austin, TX",,2015-02-11 12:00:00.000000 UTC,Not cleared,,BURGLARY OF VEHICLE           ,UK,,,,5510 S IH 35 SVRD,Theft,2015-02-02 12:00:00.000000 UTC,,,2015,
2015331238,"7928 US HWY 71 W Austin, TX",,2015-02-12 12:00:00.000000 UTC,Not cleared,,THEFT OF HEAVY EQUIPMENT      ,UK,,,,7928 US HWY 71 W,Theft,2015-02-02 12:00:00.000000 UTC,,,2015,
20155005182,"LOYOLA LN Austin, TX",,2015-02-17 12:00:00.000000 UTC,Not cleared,,BURGLARY OF VEHICLE           ,UK,,,,LOYOLA LN,Theft,2015-02-05 12:00:00.000000 UTC,,,2015,
20158000455,"910 E VILLAGE LN Austin, TX",,,,,THEFT FROM PERSON             ,UK,,,,910 E VILLAGE LN,Theft,2015-02-09 12:00:00.000000 UTC,,,2015,
20158000456,"120 W. 4TH ST Austin, TX",,,,,THEFT OF BICYCLE              ,UK,,,,120 W. 4TH ST,Theft,2015-02-09 12:00:00.000000 UTC,,,2015,
20151342090,"9700 WILLER WAY Austin, TX",,2015-05-18 12:00:00.000000 UTC,Cleared by Arrest,,BURGLARY OF VEHICLE           ,UK,,,,9700 WILLER WAY,Theft,2015-05-15 12:00:00.000000 UTC,,,2015,
20158000499,"701 S S IH 35 HWY Austin, TX",,,,,THEFT                         ,UK,,,,701 S S IH 35 HWY,Theft,2015-02-11 12:00:00.000000 UTC,,,2015,
20155006379,"1101 WALNUT CREEK PARK RD Austin, TX",,2015-02-16 12:00:00.000000 UTC,Not cleared,,BURGLARY OF VEHICLE           ,E,,,,1101 WALNUT CREEK PARK RD,Theft,2015-02-13 12:00:00.000000 UTC,,,2015,
20155006394,"9300 SOUTH IH35 SVRD (WALMART) Austin, TX",,2015-02-13 12:00:00.000000 UTC,Cleared by Arrest,,THEFT                         ,F,,,,9300 SOUTH IH35 SVRD (WALMART),Theft,2015-02-13 12:00:00.000000 UTC,,,2015,
